Unnamed: 0,Title,Resolution,class,category
0,Need Ethernet access,Please connect the LAN cable to the red port on your workstation. Please write back to IT if you are unable to get the IP addresss,41,1
1,Create new account and share the username and password,"Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.",35,0
2,FW: Myspace Login Issue-- Ania,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",36,0
3,Login credetials are not working.,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",36,0
4,New Account is needed for a new joinee.,"Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.",35,0
5,Request to configure the system to share it among users,They won't be able to access other profiles if they login with their account. Please ask users to reach out to IT if they have any issues.,46,0
6,Needs permission wifi access to laptop,"First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",34,1
7,LAN not working in a VM,changed network settings to Bridged and configured network in VM.,49,1
8,Wifi access needed.,"First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",34,1
9,My Space QA application is down,We regret for the inconvinience caused. The issue is with Host server which got rebooted due to a power failure.,48,0
10,Configure outlook in my system,IT Team has sent the instructions to configure outlook -follow the instructions on https://ticket.abc.com/kb/faq.php and click on O365 and solution and then outlook configuration for your machines,39,0
11,Install postgres database on my machine,"Go to \imfs\software\postgres location, copy postgresql database into local and install",37,0
12,System showing blue screen on startup,"1. Hold the power button until system gets shut down, then hit the power button to boot the machine. If still blue screen appears contact IT team and surrender the laptop.",32,0
13,Desktop not working,"Please check the Power cables are properly plugged , Please write back to us if the Problem still persists.",40,0
14,"System behaving strangely, blue screen is appearing in middle","Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team",45,0
15,My Internet is not working,"Go to network tab from bottom right corner, choose inn001 network, click on connect",38,1
16,"Account got locked, because of 3 wrong attempts os password. Could you please reset the password",Unlocked the account and new password is sent to your email id.,47,0
17,System hangs with blue screen on startup,"Press F8 button on system start, Choose safe mode, if OS loads then restart the os, if still same issue comes handover it to IT team",45,0
18,Unable to connect to Internet,"Go to network tab from bottom right corner, choose inn001 network, click on connect",38,1
19,Facing network/internet issue with wifi xwq090,"Go to network tab from bottom right corner, choose inn001 network, click on connect",38,1
20,Replace the battery for my Macbook laptop,Please run Battery Helath test and send us the results IT team will do the needful accordingly. Please follow the steps to cehck the battery Helath https://ticket.abc.com/kb/faq.php Hardware issue-Battery issue,44,0
21,Computer is not getting switched on,Contact IT support.,33,0
22,"Forgot the password, can you please reset the password for me.","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",36,0
23,MySpace Password Expiry,"Please reset the passowrd using self service Portal http://ssp.abc.com, Please write back to us if you face any issue.",43,0
24,install MS office,Please login to web mail and go to settings -office 365 -install applications- download and install MS office for your machine.,42,0
