uid,articles
u105138,"[293672, 293328, 293001, 293622, 293126, 1852]"
u108690,"[3405, 1739, 2972, 1158, 1599, 322665]"
u108339,"[1845, 2009, 2356, 1424, 2939, 323389]"
u101138,"[5933, 6186, 5055, 6977, 5206, 488389]"
u108248,"[707, 1144, 2532, 2928, 3133, 324592]"
u106662,"[323868, 323426, 324267, 322426, 324104, 1550]"
u105949,"[293138, 294471, 295012, 294736, 293949, 3544]"
u102457,"[6928, 5009, 6940, 7629, 7644, 512736]"
u104124,"[322838, 324699, 322991, 322120, 324327, 472331]"
u101386,"[7827, 6427, 7394, 7151, 6335, 487254]"
u104519,"[322147, 322974, 322922, 74, 322665, 472624]"
u101068,"[6163, 7517, 6678, 7482, 5124, 511479]"
u103480,"[323041, 322782, 322341, 323296, 324213, 473474]"
u105962,"[293610, 293254, 294722, 290157, 294206, 3333]"
u104980,"[324642, 324210, 322657, 323620, 43, 473393]"
u108233,"[1815, 881, 2707, 908, 1991, 324591]"
u103997,"[324558, 324474, 322456, 321907, 324207, 473417]"
u101343,"[6496, 5702, 6539, 4975, 6478, 488381]"
u104440,"[33, 323960, 323752, 322762, 323119, 473084]"
u107167,"[323805, 321846, 322203, 322049, 322512, 471812]"
u108160,"[3467, 1761, 3074, 3055, 1135, 322136]"
u108843,"[1680, 635, 2971, 3350, 1326, 322982]"
u106967,"[324361, 323745, 323278, 324106, 323324, 1877]"
u103313,"[323368, 321993, 323512, 322461, 324603, 169]"
u105251,"[294471, 293679, 293757, 292909, 295255, 1782]"
u106681,"[323855, 322949, 324179, 323013, 322231, 2817]"
u106689,"[324687, 323948, 322220, 323508, 323761, 908]"
u103355,"[322620, 322459, 322669, 322008, 322905, 472454]"
u106164,"[323813, 323546, 322671, 323961, 82, 678]"
u104296,"[322456, 322694, 324484, 323733, 322605, 531801]"
u106549,"[323568, 322109, 323979, 323746, 323355, 1034]"
u107567,"[322011, 324199, 322599, 323633, 324259, 471530]"
u102316,"[6687, 5718, 6912, 6553, 5339, 495247]"
u107634,"[323329, 321961, 324743, 323186, 324632, 474690]"
u103446,"[322663, 322332, 323225, 324700, 324338, 474267]"
u105862,"[294035, 293677, 294069, 294632, 294579, 3217]"
u102093,"[5935, 6008, 6857, 6926, 6679, 513087]"
u105032,"[293068, 293439, 294946, 293838, 294632, 597]"
u101814,"[6864, 5022, 6987, 6795, 7854, 488305]"
u102612,"[6521, 7873, 6584, 5259, 6229, 488017]"
u106476,"[322770, 323197, 324039, 323701, 324728, 1850]"
u102466,"[6217, 7194, 5609, 6269, 7320, 495333]"
u104726,"[323015, 323359, 324683, 322414, 92, 472359]"
u102040,"[4940, 5358, 7031, 5337, 5447, 513078]"
u108308,"[3126, 2684, 1384, 3000, 1330, 323213]"
u102084,"[6850, 5521, 5491, 7606, 5620, 495258]"
u104588,"[324283, 324748, 322439, 322317, 322285, 533586]"
u103427,"[323708, 324531, 322702, 323281, 322489, 474065]"
u101348,"[6322, 6538, 6776, 5970, 6325, 488079]"
u108801,"[3564, 2005, 3532, 656, 1485, 323127]"
u107905,"[323514, 323490, 322120, 46, 322559, 474633]"
u104506,"[323817, 324530, 323311, 323042, 322052, 513716]"
u104511,"[324339, 322697, 323984, 323685, 323239, 472562]"
u102459,"[4981, 6476, 6823, 6093, 6560, 512753]"
u104804,"[102, 322507, 323108, 322811, 321900, 472833]"
u103186,"[322997, 324043, 324157, 322816, 323549, 473615]"
u102728,"[5105, 5917, 5795, 5043, 7869, 486920]"
u104067,"[322724, 322250, 322558, 323412, 321945, 473309]"
u104328,"[322994, 321873, 324008, 321989, 323852, 473800]"
u102166,"[4932, 6177, 7240, 5479, 6049, 486890]"
u101576,"[6267, 7233, 7581, 7077, 7698, 513405]"
