uid,churn
u107120,0
u102277,0
u102444,0
u103439,0
u104300,0
u102598,0
u107753,0
u103650,0
u106926,0
u103486,0
u106656,0
u104342,0
u103232,0
u101797,0
u102985,0
u102085,0
u107676,0
u102261,0
u101225,0
u105730,0
u102282,0
u104392,0
u106967,0
u108761,1
u103621,0
u106474,0
u108925,1
u104325,0
u101472,0
u106404,0
u106884,0
u105420,0
u102921,0
u107486,0
u107665,0
u102347,0
u102727,0
u107858,0
u107270,0
u102837,0
u101043,0
u108154,1
u108779,1
u107572,0
u101302,0
u108090,1
u104414,0
u101958,0
u104220,0
u103743,0
u108603,1
u105825,0
u105573,0
u104120,0
u107248,0
u105203,0
u104930,0
u101590,0
u107351,0
u103406,0
u107758,0
u106305,0
u105187,0
u108766,1
u105387,0
u104638,0
u105620,0
u105655,0
u102452,0
u106496,0
u101273,0
u108965,1
u102136,0
u101468,0
u107612,0
u105072,0
u101032,0
u105483,0
u105518,0
u103023,0
u102304,0
u104121,0
u107217,0
u102364,0
u101618,0
u103624,0
u102084,0
u101660,0
u104738,0
u102166,0
u106620,0
u103355,0
u107422,0
u105975,0
u103304,0
u107675,0
u102794,0
u106240,0
u106632,0
u102903,0
u107414,0
u107403,0
u107110,0
u104017,0
u101223,0
u102842,0
u105047,0
u106972,0
u105505,0
u103914,0
u102597,0
u101920,0
u108193,1
u106449,0
u107703,0
u101961,0
u102786,0
u107218,0
u102157,0
u103718,0
u108343,1
u102287,0
u104154,0
u101041,0
u106379,0
u101440,0
u103221,0
u102224,0
u103128,0
u107105,0
u105437,0
u103494,0
u108389,1
u103906,0
u108302,1
u107365,0
u104675,0
u102018,0
u105358,0
u101201,0
u108573,1
u105030,0
u106281,0
u102253,0
u105909,0
u106349,0
u101008,0
u105523,0
u104570,0
u102575,0
u106357,0
u105193,0
u105509,0
u102863,0
u108403,1
u101372,0
u105058,0
u108109,1
u106727,0
u107591,0
u102773,0
u103196,0
u103598,0
u101252,0
u105262,0
u106703,0
u102646,0
u108518,1
u102641,0
u106467,0
u101798,0
u102627,0
u102636,0
u102077,0
u101706,0
u108273,1
u108447,1
u101458,0
u106773,0
u106831,0
u105414,0
u103233,0
u108821,1
u108420,1
u108305,1
u107133,0
u101965,0
u107824,0
u105897,0
u105315,0
u102866,0
u101294,0
u108756,1
u107009,0
u102557,0
u106003,0
u108162,1
u104891,0
u101488,0
u108604,1
u107293,0
u107791,0
u101981,0
u101551,0
u101502,0
u107971,0
u107724,0
u103085,0
u106854,0
u106362,0
u101543,0
u105817,0
u108096,1
u105906,0
u101598,0
u107093,0
u103706,0
u102965,0
u108618,1
u101427,0
u102098,0
u106896,0
u105823,0
u101484,0
u103893,0
u103344,0
u104044,0
u102216,0
u107395,0
u102874,0
u105527,0
u108697,1
u108068,1
u102106,0
u103234,0
u105317,0
u104598,0
u106895,0
u105362,0
u102611,0
u103487,0
u103689,0
u106094,0
u102382,0
u102504,0
u102213,0
u105477,0
u108313,1
u102109,0
u102635,0
u107065,0
u103035,0
u106886,0
u107657,0
u104993,0
u107250,0
u104823,0
u103493,0
u106121,0
u105647,0
u105877,0
u102296,0
u103769,0
u107467,0
u103413,0
u108452,1
u101578,0
u102692,0
u102577,0
u106829,0
u106109,0
u104110,0
u102301,0
u103361,0
u101181,0
u101908,0
u108258,1
u101385,0
u101021,0
u101243,0
u102229,0
u105448,0
u108440,1
u106028,0
u106552,0
u108321,1
u103419,0
u103816,0
u107383,0
u108392,1
u106510,0
u103236,0
u108885,1
u105253,0
u107847,0
u108038,1
u101289,0
u108134,1
u101321,0
u105145,0
u108113,1
u108675,1
u107983,0
u103758,0
u103500,0
u102642,0
u108016,1
u106363,0
u106898,0
u101976,0
u107280,0
u105290,0
